year,model,ic_type,mean_ic,median_ic,std_ic,ic_ir,positive_ic_rate,n_rebalance_dates
2018,ridge,spearman_rank_ic,0.011554088914496411,0.0279225791702074,0.1234182144666141,0.09361737215556551,0.6666666666666666,12
2019,lgbm,pearson_ic,0.0438973926464237,0.03323638134671724,0.07648681019246868,0.5739210791502727,0.75,12
2019,lgbm,spearman_rank_ic,0.04690623648194716,0.054295207627619246,0.08727191550657326,0.5374722923139486,0.6666666666666666,12
2019,ranker,pearson_ic,-0.0054415676990838095,-0.012829582389906108,0.09937053159819874,-0.05476037625607758,0.5,12
2019,ranker,spearman_rank_ic,-0.011159463838392267,-0.015750907949024208,0.12360990653769305,-0.09027968834350142,0.5,12
2019,ridge,pearson_ic,0.0356620107823152,0.04131413040250902,0.08420413823455584,0.42351850550357106,0.5,12
2019,ridge,spearman_rank_ic,0.04473999798156725,0.08426579312320373,0.11815092747911839,0.37866819106836425,0.6666666666666666,12
2020,lgbm,pearson_ic,0.034596448761742275,0.023670801281908363,0.10168473697828305,0.3402324654596991,0.6363636363636364,11
2020,lgbm,spearman_rank_ic,0.03784630971840087,0.03307142778481594,0.11211352469017863,0.3375713128544275,0.6363636363636364,11
2020,ranker,pearson_ic,0.10430858427824705,0.09964446682965356,0.1151572676353848,0.9057924560047113,0.7272727272727273,11
2020,ranker,spearman_rank_ic,0.08477294752586852,0.07835726433201833,0.1494205563797163,0.5673446116104569,0.5454545454545454,11
2020,ridge,pearson_ic,0.040242231624937744,0.057832491517610995,0.14277841954529372,0.28185093905015296,0.6363636363636364,11
2020,ridge,spearman_rank_ic,0.05734485849219102,0.08367283031000375,0.15741287268430648,0.364295864209256,0.7272727272727273,11
2021,lgbm,pearson_ic,0.04208105771390206,0.03336122983770278,0.05722921630611727,0.7353072509120484,0.8333333333333334,12
2021,lgbm,spearman_rank_ic,0.05347604387423968,0.03973764305420654,0.07319893887342348,0.730557637819192,0.75,12
2021,ranker,pearson_ic,-0.09109569301368686,-0.06988980716081307,0.132748609892178,-0.6862270956183816,0.25,12
2021,ranker,spearman_rank_ic,-0.13172908410718645,-0.0865037501873828,0.13657321017363155,-0.9645309203738672,0.08333333333333333,12
2021,ridge,pearson_ic,0.06845725524805617,0.062350890847758814,0.07261569700935513,0.9427335695646737,0.8333333333333334,12
2021,ridge,spearman_rank_ic,0.06171427098395052,0.06257487189524423,0.091454641427124,0.6748074238870401,0.75,12
2022,lgbm,pearson_ic,0.032153620192623765,0.041294983317823344,0.0956600779816347,0.3361237087721879,0.6666666666666666,12
2022,lgbm,spearman_rank_ic,0.02457201634701588,0.032590961982156386,0.0846296686215131,0.2903475429746585,0.5833333333333334,12
2022,ranker,pearson_ic,0.007972727407479145,-0.01489873594595151,0.12139788332300994,0.06567435270898156,0.5,12
2022,ranker,spearman_rank_ic,-0.011351452105285556,-0.04816893921577789,0.1602992275693477,-0.07081414101246844,0.4166666666666667,12
2022,ridge,pearson_ic,0.030496631508094212,0.0013690370231298574,0.08200832928654624,0.37187236678771474,0.5,12
2022,ridge,spearman_rank_ic,0.03166691355612159,0.002076420573090888,0.10223998447982294,0.3097312046479336,0.5,12
2023,lgbm,pearson_ic,-0.007449472677299401,-0.007938080774352992,0.10384410883501659,-0.07173707551513421,0.5,10
2023,lgbm,spearman_rank_ic,-0.03763234454524369,-0.0860372214013648,0.13654721937652645,-0.27559949383863463,0.4,10
2023,ranker,pearson_ic,-0.04712253029169683,-0.10859743001248837,0.12090300539365054,-0.3897548298180813,0.4,10
2023,ranker,spearman_rank_ic,-0.07158571542473811,-0.14717011044762907,0.14061823418802902,-0.5090784693613531,0.3,10
2023,ridge,pearson_ic,-0.004844340695296531,-0.04742898380881301,0.14206614783973204,-0.034099190897760805,0.4,10
2023,ridge,spearman_rank_ic,-0.02955149614560093,-0.0718897124919757,0.17539649143346978,-0.1684839639840242,0.4,10
